"Performance Index, Trend"
"All Districts, All Schools"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,,,"2015-16",,,"2016-17",,,"2017-18",,
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Special Education Status (SWD)","Students without Disabilities",90.7,85.2,83.7,86.0,83.2,74.5,86.5,81.7,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","All Students","School",84.1,79.5,"N/A",84.5,80.0,"N/A",81.5,81.0,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","English Language Learners (EL)","English Learners","*","*","N/A","*","*","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","English Language Learners (EL)","Not English Learners","*","*","N/A","*","*","N/A",81.5,80.9,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Gender","Female",84.2,77.6,"N/A",86.1,79.3,"N/A",84.0,82.1,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Gender","Male",84.0,81.4,"N/A",82.7,80.8,"N/A",78.8,79.7,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Grade","06",84.1,79.5,"N/A",84.5,80.0,"N/A",81.5,81.0,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","High Needs (F/R, EL or SWD)","High Needs",68.6,61.7,"N/A",67.7,59.6,"N/A",65.4,60.3,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","High Needs (F/R, EL or SWD)","Not High Needs",87.1,83.0,"N/A",88.6,85.0,"N/A",85.7,86.3,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",69.6,61.0,"N/A",71.5,63.9,"N/A",72.0,66.3,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",85.5,81.3,"N/A",86.2,82.2,"N/A",82.3,82.2,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Race/Ethnicity","American Indian or Alaska Native","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Race/Ethnicity","Asian",87.5,87.6,"N/A",92.7,91.8,"N/A",88.1,92.5,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Race/Ethnicity","Black or African American","*","*","N/A","*","*","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Race/Ethnicity","Hispanic or Latino",82.6,75.7,"N/A",73.7,66.2,"N/A",71.0,67.0,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Race/Ethnicity","Two or More Races","*","*","N/A",78.7,77.4,"N/A",83.5,85.7,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Race/Ethnicity","White",84.1,79.4,"N/A",85.4,80.7,"N/A",82.3,81.5,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Special Education Status (SWD)","Students with Disabilities",63.2,57.3,"N/A",58.6,49.1,"N/A",57.5,50.6,"N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Special Education Status (SWD)","Students without Disabilities",86.3,81.9,"N/A",87.3,83.4,"N/A",85.1,85.4,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","All Students","School",68.2,70.1,71.1,70.4,72.0,65.9,68.2,69.6,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","English Language Learners (EL)","English Learners","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","English Language Learners (EL)","Not English Learners",68.6,70.5,"*",70.8,72.4,66.2,68.5,69.9,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Gender","Female",69.2,69.7,69.5,71.1,70.8,66.9,70.7,69.4,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Gender","Male",66.9,70.6,72.9,69.6,73.2,64.9,65.9,69.8,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Grade","10","N/A","N/A",71.1,"N/A","N/A",65.9,"N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Grade","11",68.2,70.1,"N/A",70.4,72.0,"N/A",68.2,69.6,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","High Needs (F/R, EL or SWD)","High Needs",55.1,53.4,54.8,50.5,48.8,51.4,48.0,49.0,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","High Needs (F/R, EL or SWD)","Not High Needs",71.2,73.9,74.8,74.1,76.4,69.1,71.9,73.4,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",57.3,58.1,57.0,51.9,50.9,54.0,49.4,52.0,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",69.6,71.7,72.6,72.3,74.1,67.5,70.3,71.6,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Race/Ethnicity","American Indian or Alaska Native","N/A","N/A","*","*","*","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Race/Ethnicity","Asian",74.4,82.7,85.7,84.3,90.0,69.0,75.0,78.4,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Race/Ethnicity","Black or African American","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Race/Ethnicity","Hispanic or Latino",60.1,59.9,61.0,61.2,60.0,55.1,59.0,60.3,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","*","*","N/A","N/A","N/A","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Race/Ethnicity","White",69.2,70.6,70.5,69.8,71.1,67.7,69.5,71.0,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Special Education Status (SWD)","Students with Disabilities",49.8,44.2,50.7,47.5,43.3,44.2,40.7,40.9,"N/A"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Special Education Status (SWD)","Students without Disabilities",69.8,72.5,73.7,72.4,74.6,67.7,70.3,71.8,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","All Students","School",84.3,80.4,77.0,83.7,82.6,70.2,86.3,82.8,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","English Language Learners (EL)","English Learners","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","English Language Learners (EL)","Not English Learners","*","*","*",83.7,82.6,"*",86.5,82.5,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Gender","Female",88.1,82.2,78.8,85.4,81.1,71.3,86.6,81.5,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Gender","Male",80.5,78.6,75.1,82.0,84.2,69.0,86.0,84.1,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Grade","03",80.6,75.9,"N/A",87.7,85.6,"N/A",88.1,83.4,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Grade","04",85.9,77.9,"N/A",81.3,79.8,"N/A",89.2,83.9,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Grade","05",86.9,87.2,77.0,82.6,83.2,70.2,82.9,81.5,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","High Needs (F/R, EL or SWD)","High Needs",65.0,62.9,"*",72.3,76.0,"*",73.8,70.1,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","High Needs (F/R, EL or SWD)","Not High Needs",87.0,82.8,78.0,85.6,83.8,71.8,89.1,85.6,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",84.9,81.0,"*",83.9,82.7,"*",86.4,82.9,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Race/Ethnicity","American Indian or Alaska Native","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Race/Ethnicity","Asian","*","*","*",92.9,94.1,"*",90.3,93.5,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Race/Ethnicity","Black or African American","*","*","*","*","*","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Race/Ethnicity","Hispanic or Latino","*","*","*",75.8,70.7,"*","*","*","N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Race/Ethnicity","Two or More Races","*","*","N/A","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Race/Ethnicity","White",84.5,80.9,75.0,83.5,82.9,71.4,86.4,82.1,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Special Education Status (SWD)","Students with Disabilities","*","*","*","*","*","*",65.9,58.6,"N/A"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Special Education Status (SWD)","Students without Disabilities",86.7,82.6,"*",85.6,83.8,"*",88.7,85.6,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","All Students","School",84.0,78.9,70.5,82.6,78.4,67.0,81.0,78.3,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","English Language Learners (EL)","English Learners","*","*","*","*","*","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","English Language Learners (EL)","Not English Learners","*","*","*","*","*",67.0,"*","*","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Gender","Female",85.7,77.9,68.5,84.8,77.0,63.6,85.5,80.3,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Gender","Male",82.5,79.8,72.6,80.6,79.7,69.5,77.0,76.6,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Grade","03",82.8,73.9,"N/A",81.0,72.7,"N/A",78.9,73.7,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Grade","04",85.1,81.1,"N/A",84.6,80.7,"N/A",83.5,79.8,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Grade","05",84.5,82.5,70.5,81.5,81.3,67.0,80.3,80.4,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","High Needs (F/R, EL or SWD)","High Needs",68.2,57.0,"*",61.5,58.1,"*",61.8,58.3,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","High Needs (F/R, EL or SWD)","Not High Needs",87.3,83.5,73.1,86.0,81.7,69.9,83.7,81.2,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",84.6,79.8,"*",83.5,79.4,"*",81.6,78.8,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Race/Ethnicity","American Indian or Alaska Native","*","*","N/A","*","*","*","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Race/Ethnicity","Asian",89.8,87.6,"*",89.7,93.0,"*","*","*","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Race/Ethnicity","Black or African American","N/A","N/A","N/A","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Race/Ethnicity","White",83.9,78.4,70.2,83.4,78.6,67.5,82.1,78.7,"N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Special Education Status (SWD)","Students with Disabilities",65.2,54.6,"*",54.1,53.1,"*","*","*","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Special Education Status (SWD)","Students without Disabilities",86.8,82.5,72.0,85.6,81.1,68.9,83.0,80.9,"N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","All Students","School","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","English Language Learners (EL)","English Learners","*","*","N/A","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","English Language Learners (EL)","Not English Learners","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Gender","Female","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Gender","Male","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Grade","03","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Grade","04","*","*","N/A","N/A","N/A","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Grade","05","*","*","*","*","*","*","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Grade","06","*","*","N/A","*","*","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Grade","07","*","*","N/A","*","*","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Grade","08","N/A","N/A","N/A","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Grade","10","N/A","N/A","*","N/A","N/A","*","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Grade","11","*","*","N/A","N/A","N/A","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","High Needs (F/R, EL or SWD)","High Needs","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","High Needs (F/R, EL or SWD)","Not High Needs","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Race/Ethnicity","American Indian or Alaska Native","*","*","N/A","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Race/Ethnicity","Black or African American","*","*","*","*","*","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Race/Ethnicity","Hispanic or Latino","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Race/Ethnicity","Two or More Races","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Race/Ethnicity","White","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Special Education Status (SWD)","Students with Disabilities","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Special Education Status (SWD)","Students without Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","All Students","School",75.3,71.1,59.9,75.9,72.7,57.3,75.4,73.2,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","English Language Learners (EL)","English Learners","*","*","N/A","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","English Language Learners (EL)","Not English Learners",75.5,71.3,59.9,76.0,72.7,57.3,76.0,73.5,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Gender","Female",74.9,69.0,58.0,76.1,70.6,54.6,77.6,72.2,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Gender","Male",75.7,73.3,61.6,75.6,74.7,60.5,73.1,74.3,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Grade","03",76.5,69.8,"N/A",78.6,75.4,"N/A",75.0,72.0,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Grade","04",74.4,70.1,"N/A",74.5,71.0,"N/A",81.5,78.3,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Grade","05",75.3,73.2,59.9,74.4,71.7,57.3,69.9,69.6,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","High Needs (F/R, EL or SWD)","High Needs",65.1,62.1,51.1,64.9,63.1,50.4,61.9,59.7,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","High Needs (F/R, EL or SWD)","Not High Needs",81.9,77.0,67.0,82.8,78.8,62.2,83.1,81.0,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",67.1,64.4,52.6,65.0,63.8,"*",61.2,57.8,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",79.0,74.1,64.5,80.2,76.3,59.7,79.9,78.1,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Race/Ethnicity","Asian","*","*","*","*","*","*",81.6,81.8,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Race/Ethnicity","Black or African American","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Race/Ethnicity","Hispanic or Latino",64.5,60.8,"*",65.6,65.4,"*",64.6,61.9,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Race/Ethnicity","White",79.5,73.7,65.3,78.4,73.9,60.9,77.9,75.8,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Special Education Status (SWD)","Students with Disabilities",52.0,50.0,"*",50.1,48.7,"*",48.8,46.7,"N/A"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Special Education Status (SWD)","Students without Disabilities",79.3,74.8,63.7,79.6,76.2,60.7,79.5,77.3,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","All Students","School",84.5,82.2,73.5,83.1,82.5,74.2,82.1,81.4,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","English Language Learners (EL)","English Learners","*","*","N/A","*","*","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","English Language Learners (EL)","Not English Learners","*","*",73.5,"*","*",74.2,82.5,81.7,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Gender","Female",86.0,80.8,74.7,83.0,80.8,73.2,83.5,80.2,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Gender","Male",82.4,84.1,71.7,83.1,84.4,75.2,80.8,82.4,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Grade","03",82.4,78.7,"N/A",82.7,82.6,"N/A",80.0,77.6,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Grade","04",84.5,81.1,"N/A",80.1,80.2,"N/A",82.1,82.4,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Grade","05",86.4,86.5,73.5,86.5,84.7,74.2,84.3,84.2,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","High Needs (F/R, EL or SWD)","High Needs",70.3,66.9,61.7,66.2,66.2,"*",62.8,60.6,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","High Needs (F/R, EL or SWD)","Not High Needs",87.9,85.9,76.5,86.4,85.7,77.1,85.8,85.4,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",68.6,64.5,"*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",85.9,83.8,74.5,84.1,83.6,76.1,83.4,83.0,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Race/Ethnicity","Asian","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Race/Ethnicity","Black or African American","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Race/Ethnicity","Hispanic or Latino",81.6,76.1,"*",74.1,71.9,"*",75.5,72.5,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Race/Ethnicity","Two or More Races","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Race/Ethnicity","White",85.1,83.2,73.4,84.2,83.3,76.1,82.4,81.6,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Special Education Status (SWD)","Students with Disabilities",68.1,65.5,"*",61.6,61.9,"*",59.1,57.0,"N/A"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Special Education Status (SWD)","Students without Disabilities",87.0,84.8,75.8,85.4,84.7,75.7,84.8,84.2,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","All Students","School",77.4,74.4,67.8,76.7,74.6,65.5,80.1,76.6,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","English Language Learners (EL)","English Learners","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","English Language Learners (EL)","Not English Learners",77.6,74.6,"*",77.1,74.8,65.8,80.3,76.7,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Gender","Female",80.0,74.1,68.5,78.9,73.4,65.6,82.2,75.9,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Gender","Male",74.6,74.8,67.0,74.5,75.9,65.4,77.9,77.4,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Grade","07",77.9,73.6,"N/A",79.1,76.3,"N/A",84.2,79.0,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Grade","08",76.9,75.3,67.8,74.4,73.0,65.5,76.1,74.3,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","High Needs (F/R, EL or SWD)","High Needs",59.2,55.2,53.1,56.2,54.1,51.7,59.8,54.7,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","High Needs (F/R, EL or SWD)","Not High Needs",81.5,78.8,70.9,80.9,78.8,68.3,84.0,80.9,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",60.1,55.7,57.0,59.0,54.3,53.7,64.1,59.7,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",79.0,76.2,68.7,78.5,76.6,66.7,81.4,78.0,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Race/Ethnicity","American Indian or Alaska Native","*","*","*","*","*","*","*","*","N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Race/Ethnicity","Asian",85.4,86.6,72.2,84.7,87.1,70.6,88.7,89.4,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Race/Ethnicity","Black or African American","*","*","*",56.8,56.1,"*",64.1,57.7,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Race/Ethnicity","Hispanic or Latino",68.6,64.1,59.3,71.2,67.8,59.2,71.7,67.2,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Race/Ethnicity","Two or More Races",79.9,73.7,66.5,78.4,72.1,66.7,81.2,76.3,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Race/Ethnicity","White",77.7,74.4,68.4,76.7,74.3,65.8,80.2,76.3,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Special Education Status (SWD)","Students with Disabilities",53.7,49.5,48.5,47.9,45.5,46.2,51.6,45.9,"N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Special Education Status (SWD)","Students without Disabilities",80.9,78.2,70.4,80.1,78.0,67.8,83.0,79.7,"N/A"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","All Students","School",67.2,65.2,73.0,71.3,68.6,69.7,66.3,63.9,"N/A"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","English Language Learners (EL)","English Learners","N/A","N/A","*","*","*","*","*","*","N/A"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","English Language Learners (EL)","Not English Learners",67.2,65.2,"*","*","*","*","*","*","N/A"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Gender","Female",68.2,64.4,72.4,70.5,66.0,70.2,67.7,63.6,"N/A"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Gender","Male",66.3,66.0,73.5,72.1,71.1,69.1,64.8,64.1,"N/A"
